"Module","ModuleFamily","Entity","FeatureAction","ActionKind","HttpMethod","RouteExpression","PermissionExpression","PermissionReference","EndpointFile","Line"
"Catalog","Catalog and pricing","Products","RemoveProduct","Workflow","DELETE","""/api/v1/catalog/products/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.ProductPermissions.Delete}""","ProductPermissions.Delete","src/Modules/Catalog/Catalog/Products/Features/Products/RemoveProduct/RemoveProductEndPoint.cs","10"
"Catalog","Catalog and pricing","Products","RemoveProductSku","Workflow","DELETE","""/api/v1/catalog/products/Skus/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.ProductPermissions.Delete}""","ProductPermissions.Delete","src/Modules/Catalog/Catalog/Products/Features/Products/RemoveProductSku/RemoveProductSkuEndPoint.cs","11"
"Catalog","Catalog and pricing","Products","SearchProducts","Workflow","GET","""/api/v1/catalog/products/search/{searchTerm}"", async (string searchTerm, ISender sender) =>","PermissionList.ProductPermissions.View","ProductPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Products/SearchProducts/SearchProductsEndPoint.cs","11"
"Catalog","Catalog and pricing","Products","UpdateProduct","Workflow","PUT","""/api/v1/catalog/products"", async (UpdateProductRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Edit}""","ProductPermissions.Edit","src/Modules/Catalog/Catalog/Products/Features/Products/UpdateProduct/UpdateProductEndPoint.cs","12"
"Catalog","Catalog and pricing","Products","UpdateProductSku","Workflow","PUT","""/api/v1/catalog/products/skus"", async (UpdateProductSkuRequest request, ISender sender) =>","$""{PermissionList.ProductPermissions.Edit}""","ProductPermissions.Edit","src/Modules/Catalog/Catalog/Products/Features/Products/UpdateProductSku/UpdateProductSkuEndPoint.cs","11"
"Catalog","Catalog and pricing","Units","CreateUnit","Workflow","POST","""/api/v1/catalog/units"", async (CreateUnitRequest request, ISender sender) =>","$""{PermissionList.UnitPermissions.Create}""","UnitPermissions.Create","src/Modules/Catalog/Catalog/Products/Features/Units/CreateUnit/CreateUnitEndPoint.cs","12"
"Catalog","Catalog and pricing","Units","GetUnitById","Workflow","GET","""/api/v1/catalog/units/{id}"", async ([FromRoute] Guid id,[FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnitById/GetUnitByIdEndPoint.cs","11"
"Catalog","Catalog and pricing","Units","GetUnits","Workflow","GET","""/api/v1/catalog/units"", async ([AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnits/GetUnitsEndPoint.cs","11"
"Catalog","Catalog and pricing","Units","GetUnitsByComapny","Workflow","GET","""/api/v1/catalog/units/company/{companyId}"", async ([FromRoute]Guid companyId,[AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UnitPermissions.View","UnitPermissions.View","src/Modules/Catalog/Catalog/Products/Features/Units/GetUnitsByComapny/GetUnitsByComapnyEndpoint.cs","12"
"Catalog","Catalog and pricing","Units","RemoveUnit","Workflow","DELETE","""/api/v1/catalog/units/{id}"", async ([FromRoute] Guid id, [FromServices] ISender sender) =>","$""{PermissionList.UnitPermissions.Delete}""","UnitPermissions.Delete","src/Modules/Catalog/Catalog/Products/Features/Units/RemoveUnit/RemoveUnitEndpoint.cs","11"
