"PermissionClass","PermissionGroup","Entity","ModuleFamily","Action","Permission"
"SupplierQuotationPermissions","Procurement.SupplierQuotation","SupplierQuotation","Suppliers","Delete","Procurement.SupplierQuotation.Delete"
"SupplierQuotationPermissions","Procurement.SupplierQuotation","SupplierQuotation","Suppliers","Edit","Procurement.SupplierQuotation.Edit"
"SupplierQuotationPermissions","Procurement.SupplierQuotation","SupplierQuotation","Suppliers","Reject","Procurement.SupplierQuotation.Reject"
"SupplierQuotationPermissions","Procurement.SupplierQuotation","SupplierQuotation","Suppliers","Select","Procurement.SupplierQuotation.Select"
"SupplierQuotationPermissions","Procurement.SupplierQuotation","SupplierQuotation","Suppliers","View","Procurement.SupplierQuotation.View"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Assign","TaskManagement.Task.Assign"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Close","TaskManagement.Task.Close"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Comment","TaskManagement.Task.Comment"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Create","TaskManagement.Task.Create"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Delete","TaskManagement.Task.Delete"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Edit","TaskManagement.Task.Edit"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","ManageAllTasks","TaskManagement.Task.ManageAllTasks"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Reassign","TaskManagement.Task.Reassign"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","Select","TaskManagement.Task.Select"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","View","TaskManagement.Task.View"
"TaskManagementPermissions","TaskManagement.Task","Task","Task management","ViewReports","TaskManagement.Task.ViewReports"
