"Module","ModuleFamily","Route","PageFile","MenuReachable"
"Employees","HR employees","/Employee/Employee/view/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Employees/Pages/Employees/EmployeeView.razor","False"
"Employees","HR employees","/Employee/Position/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Employees/Pages/Positions/PositionList.razor","True"
"Employees","HR employees","/Employee/Specialization/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Employees/Pages/Specializations/SpecializationList.razor","True"
"Inventories","Inventory","/Inventories/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/InventoryList.razor","True"
"Inventories","Inventory","/Inventory/Batch/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/BatchList.razor","True"
"Inventories","Inventory","/Inventory/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/InventoryDashboard.razor","True"
"Inventories","Inventory","/Inventory/Operations/StockAdjustment","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/Operations/StockAdjustment.razor","True"
"Inventories","Inventory","/Inventory/Operations/StockIn","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/Operations/StockIn.razor","True"
"Inventories","Inventory","/Inventory/Operations/StockOut","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/Operations/StockOut.razor","True"
"Inventories","Inventory","/Inventory/Operations/StockRelease","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/Operations/StockRelease.razor","True"
"Inventories","Inventory","/Inventory/Operations/StockReservation","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/Operations/StockReservation.razor","True"
"Inventories","Inventory","/Inventory/Warehouse/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/WarehouseList.razor","True"
"Inventories","Inventory","/Inventory/WarehouseTransfer/Form","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Inventories/Pages/WarehouseTransferForm.razor","False"
"Organization","Organization","/Organization/Administration/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Administrations/AdministrationList.razor","True"
"Organization","Organization","/organization/Branch/Form/{Id:guid?}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Branches/BranchForm.razor","False"
"Organization","Organization","/Organization/Branch/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Branches/BranchList.razor","True"
"Organization","Organization","/Organization/ChildCompanies","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Companies/ChildCompanyManagement.razor","True"
"Organization","Organization","/Organization/Company/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Companies/CompanyList.razor","True"
"Organization","Organization","/Organization/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/OrganizationDashboard.razor","True"
"Organization","Organization","/Organization/Department/List","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Organization/Pages/Departments/DepartmentList.razor","True"
"Payroll","Payroll","/Payroll/AssignContract","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Payroll/Pages/AssignContract.razor","True"
"Payroll","Payroll","/Payroll/Components","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Payroll/Pages/PayrollComponents.razor","True"
"Payroll","Payroll","/Payroll/Contracts","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Payroll/Pages/SalaryContracts.razor","True"
"Payroll","Payroll","/Payroll/Loans","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Payroll/Pages/EmployeeLoans.razor","True"
"Payroll","Payroll","/Payroll/SalaryRuns","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Payroll/Pages/GenerateSalary.razor","True"
"Procurement","Procurement","/Procurement/{KindRoute}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Procurement/Pages/ProcurementList.razor","False"
"Procurement","Procurement","/Procurement/{KindRoute}/Detail/{Id:guid}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Procurement/Pages/ProcurementDetail.razor","False"
